decimalLatitude,decimalLongitude,eventDate,species,vernacularName,recordID,dataResourceName
-18.442566,146.234121,1989-05-09T23:00:00Z,Casuarius casuarius,Southern Cassowary,8a10bd25-e5b6-4436-9fb5-b4153ae71c29,eBird Australia
-18.433168,146.423681,2020-02-06T01:01:22Z,Casuarius casuarius,Southern Cassowary,2098b4ac-38a5-416d-aa3f-9c3e1c7ef51d,iNaturalist Australia
-18.4318,146.067753,1986-08-22T14:00:00Z,Casuarius casuarius,Southern Cassowary,3d766245-1ad7-49e9-b022-c0e90882c420,WildNet - Queensland Wildlife Data
-18.431667,145.855278,1865-08-31T13:47:52Z,Casuarius casuarius,Southern Cassowary,00ea8750-8f12-4792-ad5f-e7b750c4eb3e,WildNet - Queensland Wildlife Data
-18.42061,146.14108,1987-07-11T14:00:00Z,Casuarius casuarius,Southern Cassowary,d3a8e748-43f2-4e92-92d1-985702e200fb,eBird Australia
-18.419381,145.947112,2020-12-27T01:01:26Z,Casuarius casuarius,Southern Cassowary,056cdddc-ddc5-4be6-a258-6aa5405cb935,iNaturalist Australia
-18.418656,145.943728,2009-08-10T14:00:00Z,Casuarius casuarius,Southern Cassowary,d85b91ec-2d8b-4cfc-b7e2-38eacc313bf8,WildNet - Queensland Wildlife Data
-18.417021,145.94419,2016-01-16T22:00:00Z,Casuarius casuarius,Southern Cassowary,9701224c-86ac-4577-8641-c390096b4f31,eBird Australia
-18.417021,145.94419,2001-10-27T20:00:00Z,Casuarius casuarius,Southern Cassowary,bdae32c6-6f1f-4fdb-a54d-dfff6db5a538,eBird Australia
-18.417021,145.94419,1996-09-21T21:00:00Z,Casuarius casuarius,Southern Cassowary,97b8213a-d85b-406e-ba85-8a398612c938,eBird Australia
-18.417021,145.94419,1998-07-19T14:00:00Z,Casuarius casuarius,Southern Cassowary,c29111fc-3e73-4a89-ad55-6f91ae4d3e3b,eBird Australia
-18.416574,145.944776,1998-12-11T14:00:00Z,Casuarius casuarius,Southern Cassowary,764b0e3e-341c-4905-8a58-87204d39739d,WildNet - Queensland Wildlife Data
-18.406793,145.842779,1909-12-31T14:00:00Z,Casuarius casuarius,Southern Cassowary,5b5411ba-c953-4237-a74c-667ab3dcf44d,WildNet - Queensland Wildlife Data
-18.402633,146.084419,1986-08-23T14:00:00Z,Casuarius casuarius,Southern Cassowary,be155fbe-fb15-485c-b0ca-57d6e10bda64,WildNet - Queensland Wildlife Data
-18.340124,146.238606,1874-12-31T13:47:52Z,Casuarius casuarius,Southern Cassowary,a862a0fc-4767-4a9c-9428-b7ff6b2c6f32,WildNet - Queensland Wildlife Data
-18.310866,146.055993,2005-09-05T14:00:00Z,Casuarius casuarius,Southern Cassowary,c0906e4a-9387-46a6-859e-2a47179a4f8e,eBird Australia
-18.27,146.02,1887-10-02T13:47:52Z,Casuarius casuarius,Southern Cassowary,95a927f0-33ac-4e80-9696-84f1a7606af6,Museums Victoria provider for OZCAM
-18.265126,146.026108,1873-12-31T13:47:52Z,Casuarius casuarius,Southern Cassowary,afd37b5e-c4d3-451e-91fa-bdb6301bc40d,WildNet - Queensland Wildlife Data
-18.265,146.026111,1911-04-30T14:00:00Z,Casuarius casuarius,Southern Cassowary,f5c756dd-1ae8-4e61-94d4-ca2641397921,WildNet - Queensland Wildlife Data
-18.265,146.026111,1874-02-28T13:47:52Z,Casuarius casuarius,Southern Cassowary,a7c7e50d-292a-409e-9468-6cf6eeb0c3e1,WildNet - Queensland Wildlife Data
-18.255982,145.907046,2020-09-14T23:30:00Z,Casuarius casuarius,Southern Cassowary,7dd1cf7b-9cc0-4790-b685-dece54ad4da4,eBird Australia
-18.251704,146.013701,2011-05-02T14:00:00Z,Casuarius casuarius,Southern Cassowary,65f8f3bb-ea1c-4db1-adff-537682730781,WildNet - Queensland Wildlife Data
-18.24753,145.977233,2023-07-13T03:37:20Z,Casuarius casuarius,Southern Cassowary,94a13993-e9b6-449c-a23d-e3babca7b4cf,iNaturalist Australia
-18.234776,145.961927,2011-04-17T14:00:00Z,Casuarius casuarius,Southern Cassowary,12534eca-22d8-45eb-b2ba-210279dcb28b,WildNet - Queensland Wildlife Data
-18.234743,145.991262,2011-05-21T14:00:00Z,Casuarius casuarius,Southern Cassowary,c3e327d7-30aa-4456-a285-4d39f5155c80,WildNet - Queensland Wildlife Data
-18.23442,145.97351,2019-03-10T14:00:00Z,Casuarius casuarius,Southern Cassowary,a5647736-12dc-4438-a5ee-4677ad42c5b5,WildNet - Queensland Wildlife Data
-18.23442,145.97351,2019-03-10T14:00:00Z,Casuarius casuarius,Southern Cassowary,20dd508c-6905-4681-915a-e41f2fa9bc74,WildNet - Queensland Wildlife Data
-18.234327,145.974247,2011-03-21T14:00:00Z,Casuarius casuarius,Southern Cassowary,c66837fe-f461-4b9f-833d-cf7e4242e98c,WildNet - Queensland Wildlife Data
-18.233763,146.014969,2023-05-30T07:40:25Z,Casuarius casuarius,Southern Cassowary,f946fb0d-2998-4e62-9bbf-8eeea363e3b2,iNaturalist Australia
-18.233208,145.996657,2011-05-04T14:00:00Z,Casuarius casuarius,Southern Cassowary,003c63cc-f971-4838-b076-379bb158f477,WildNet - Queensland Wildlife Data
-18.232654,145.955219,2011-02-17T14:00:00Z,Casuarius casuarius,Southern Cassowary,9ff9164d-89c6-4656-a2cf-f4cd5b009d7b,WildNet - Queensland Wildlife Data
-18.2316,146.0005,2021-01-14T05:14:00Z,Casuarius casuarius,Southern Cassowary,61484d86-d15d-4f02-a2e6-5c0f0a73fd02,iNaturalist Australia
-18.2285,145.99879,2019-06-23T14:00:00Z,Casuarius casuarius,Southern Cassowary,04931d9c-057b-43ab-9db7-56d80b6a6f7e,WildNet - Queensland Wildlife Data
