decimalLatitude,decimalLongitude,eventDate,species,recordID,dataResourceName,vernacularName
-17,145.833333,1972-08-06T14:00:00Z,Elaeocarpus bancroftii,1af1788a-8968-47e2-94e0-c614db5c9d18,Australian Tropical Herbarium (CNS) AVH data,Quandong
-17,145.833333,1988-10-19T14:00:00Z,Elaeocarpus bancroftii,7571eb27-1897-4a95-9e2d-983030003d5b,Australian Tropical Herbarium (CNS) AVH data,Quandong
-17,145.833333,1975-09-29T14:00:00Z,Elaeocarpus bancroftii,0cc69112-1ee7-4752-80bc-545fc43e01bb,Australian Tropical Herbarium (CNS) AVH data,Quandong
-17,145.833333,1972-08-06T14:00:00Z,Elaeocarpus bancroftii,71c0fd4c-110f-4ca2-bff3-e236f686bb6f,Australian Tropical Herbarium (CNS) AVH data,Quandong
-17,145.833333,1976-09-20T14:00:00Z,Syzygium cormiflorum,9aeb4410-2278-4203-9057-9bd8476bda7c,Australian Tropical Herbarium (CNS) AVH data,Watergum
-17,145.583333,1972-10-31T14:00:00Z,Syzygium kuranda,60fb5ba6-8ac4-42f6-a30f-5f8ee00d312d,Australian Tropical Herbarium (CNS) AVH data,Cherry Penda
-17,145.833333,1976-09-20T14:00:00Z,Syzygium cormiflorum,0b65d418-b17d-4819-adfa-47a449804056,Australian Tropical Herbarium (CNS) AVH data,Watergum
-17,145.833333,1981-11-03T14:00:00Z,Cryptocarya pleurosperma,93ffc5ac-4118-4d44-bf6b-8b510f648bc0,Australian Tropical Herbarium (CNS) AVH data,Poison Laurel
-17,145.833333,1975-12-21T14:00:00Z,Cryptocarya oblata,90bb8cce-1fb6-4f80-9996-7af4123aeb01,Australian Tropical Herbarium (CNS) AVH data,Bolly Silkwood
-17,145.833333,1972-08-08T14:00:00Z,Syzygium cormiflorum,602f350f-bb09-4cf7-935f-0579e782bca4,Australian Tropical Herbarium (CNS) AVH data,Watergum
-16.994444,145.831111,2009-06-22T14:00:00Z,Cryptocarya pleurosperma,12cd03f9-d682-42ae-b045-9928769769b1,BRI AVH Data and Images,Poison Laurel
-16.994444,145.831111,1981-10-28T14:00:00Z,Elaeocarpus bancroftii,bcfe7fd3-7beb-4873-b655-d2fba4de255d,BRI AVH Data and Images,Quandong
-16.990134,145.842768,1978-01-23T14:00:00Z,Cryptocarya pleurosperma,e589a420-4465-400b-977b-e3c42e24f67e,BRI AVH Data and Images,Poison Laurel
-16.990133,145.842768,1981-12-21T14:00:00Z,Elaeocarpus bancroftii,29eafd67-6cb4-4610-b018-e211b64e482c,BRI AVH Data and Images,Quandong
-16.990133,145.842768,1981-11-03T14:00:00Z,Cryptocarya pleurosperma,bd7bb8f7-f718-48db-8419-5b8b02c1d06e,BRI AVH Data and Images,Poison Laurel
-16.985821,145.661147,1999-12-01T14:00:00Z,Faradaya splendida,609a3af4-ba12-49f2-b4f2-507dcc9547d1,BRI AVH Data and Images,Glory Vine
-16.983333,145.616667,1977-05-17T14:00:00Z,Prunus turneriana,d54ce9b6-3c70-4742-aa3b-e77486b9aea6,Australian Tropical Herbarium (CNS) AVH data,Almondbark
-16.983333,145.833333,1977-05-16T14:00:00Z,Cryptocarya oblata,e0c9303d-3768-463e-8df2-5328a776a7e9,Australian Tropical Herbarium (CNS) AVH data,Bolly Silkwood
-16.983333,145.833333,1978-01-23T14:00:00Z,Cryptocarya pleurosperma,043c5a04-aba7-4e6b-b796-17ce1c417700,Centre for Australian National Biodiversity Research (CANB) AVH data,Poison Laurel
-16.983333,145.833333,1978-01-23T14:00:00Z,Cryptocarya pleurosperma,531f421a-64e3-41fa-98b2-6a47e5538e6f,Australian Tropical Herbarium (CNS) AVH data,Poison Laurel
-16.983333,145.833333,1978-01-23T14:00:00Z,Cryptocarya pleurosperma,a799859e-db70-4973-b884-5234635b2e9e,Australian Tropical Herbarium (CNS) AVH data,Poison Laurel
-16.983333,145.766667,1970-08-22T14:00:00Z,Faradaya splendida,7b16f0f3-b2ac-4733-b8ac-9058c8e99c28,Centre for Australian National Biodiversity Research (CANB) AVH data,Glory Vine
-16.983333,145.666667,1970-08-23T14:00:00Z,Syzygium cormiflorum,bca68c27-5ae7-4b0a-ba5e-f7cc8f470946,Centre for Australian National Biodiversity Research (CANB) AVH data,Watergum
-16.9833,145.8333,1978-01-23T14:00:00Z,Cryptocarya pleurosperma,b18a7469-09ed-4f08-a583-319bd4ffec16,National Herbarium of Victoria (MEL) AVH data,Poison Laurel
-16.983056,145.682222,2012-02-27T14:00:00Z,Elaeocarpus bancroftii,f1059ebd-7414-4a46-baf4-8d7787231d63,Australian Tropical Herbarium (CNS) AVH data,Quandong
-16.9803966,145.835216,1978-01-23T14:00:00Z,Cryptocarya pleurosperma,928e1022-a322-45a8-afa7-a8ce40fdc24d,Northern Territory Herbarium (DNA) AVH data,Poison Laurel
